name,address,latitude,longitude,rating,rating_count,place_id
Hygge Utrecht,"Goeman Borgesiuslaan 77, Utrecht",52.102944,5.114335,4.4,471,ChIJi6KgDLBvxkcR4O6_iEqkKb4
Sumventure Flightbar,"Willem van Noortstraat 65, Utrecht",52.10126870000001,5.121186300000001,4.9,290,ChIJV0dWO29vxkcRUHjVe822FqQ
Achter de Koekoek,"Willem van Noortstraat 1, Utrecht",52.10039419999999,5.1197096,4.9,159,ChIJ_btRYE5vxkcRXC8D8zbH2D8
Stockholm Café,"Bemuurde Weerd Oostzijde 40, Utrecht",52.09845989999999,5.114391499999999,4.0,67,ChIJyZP_B0FvxkcRS_abHJHns_Q
Café Fokus🍺,"Koekoekstraat 25, Utrecht",52.0982964,5.1202481,4.5,69,ChIJw7cy5UZvxkcRR5Vj8dCAZJY
Café LiffNa - Lunchrestaurant & Eritrese koffie in Utrecht Centrum,"Bemuurde Weerd Oostzijde 36, Utrecht",52.098242,5.114529200000001,4.9,98,ChIJhVIKWABvxkcRW7-K9ZWXPw8
Brouwerij Eleven Zomerbar,"Wolvenplein 27, Utrecht",52.0971941,5.125224300000001,4.4,7,ChIJzYhur0JvxkcR2fy490iO_Bk
Copacabajes,"Wolvenplein 27, Utrecht",52.09728570000001,5.1258776,4.0,1,ChIJc9mReWRvxkcRkzCMbqx92mw
Koken met LeChalet,"Singelstraat 6, Utrecht",52.0966435,5.111284599999999,5.0,2,ChIJ1eP4_qFvxkcRYIcKT-22OOM
S.M knorhaar,"Heringastraat 25, Utrecht",52.103662,5.0984082,2.5,2,ChIJ2R3xTJVvxkcRhZzUKrmLbig
Café Kanaalzicht,"Keulsekade 23, Utrecht",52.0901222,5.0905495,4.5,704,ChIJ2aJdJXpvxkcRYMkSCCIJoSE
Flore V.o.f.,"Keulsekade 23, Utrecht",52.0901219,5.090605,4.0,1,ChIJ2aJdJXpvxkcRz97nC_dW-KM
"De Cocktailfiets, mobiele cocktailbar & cocktailworkshop op locatie","Niasstraat 1, Utrecht",52.09390070000001,5.091992299999999,5.0,12,ChIJxYBpul5vxkcRlNDYcLiSAIg
Mooie Boules Utrecht,"Steenovenweg 1, Utrecht",52.09624969999999,5.0833258,4.5,137,ChIJ2wU0A1VvxkcRnPLgAkqJ81A
Kleine Max,"Jan Pieterszoon Coenstraat 69, Utrecht",52.0910864,5.0975887,4.5,170,ChIJHzgXOuZvxkcRhQsy9rV7h9c
Trapop!,"Hof van Monaco 8, Utrecht",52.09515399999999,5.066952999999999,4.7,107,ChIJE9lx5ClvxkcRBLEY_Vd2Dbw
De Nijverheid Kunstcentrum- Café - Expositie - Culturele Vrijhaven,"Nijverheidskade 15, Utrecht",52.1003377,5.0835733,4.7,618,ChIJkTQ4h3VvxkcRy6jf3s8z09o
climbing wall Utrecht,"Vlampijpstraat 79, Utrecht",52.1046899,5.084818099999999,4.7,243,ChIJJdHjcaBvxkcRQfXScUz3AHw
De Hondekop,"Wisselstraat 7, Utrecht",52.1003511,5.095263999999999,4.4,517,ChIJR1kSYABvxkcReQDS9I_APMI
Longhorn Bar & Grill,"Van Sijpesteijnkade 1, Utrecht",52.0908416,5.106543299999999,4.2,387,ChIJ9XZrISdvxkcRfJrqBcwaeIc
Restaurant Metro City Kitchen,"Jaarbeursplein 15, Utrecht",52.08968710000001,5.107018699999999,4.1,1038,ChIJ91HoHiNvxkcRRqz4PqE9E1E
Boot 122,"Nijverheidskade 12, Utrecht",52.1002741,5.0828726,4.9,151,ChIJ4Qbdl49vxkcR5LaCW0EJ-_Q
MOOS - Utrecht,"Amsterdamsestraatweg 283, Utrecht",52.10185000000001,5.098523600000001,4.5,430,ChIJrekKwBNvxkcR9zzETG8WlsQ
NAR,"Nijverheidsweg 6, Utrecht",52.101214,5.083385199999999,4.5,354,ChIJy6zspLNvxkcRL-U17tgmfGM
the U food & drinks,"Smakkelaarshoek 24, Utrecht",52.0917848,5.1099109,3.7,24,ChIJtW9Ig_VvxkcRZq5oCGFEAeA
The Seafood Bar,"Stationsplein 22, Utrecht",52.0906615,5.1101061,4.7,4273,ChIJ5x3TTl1vxkcRQONbOAi4tSo
Café de Klapstoel,"Oleanderstraat 10BIS, Utrecht",52.10373269999999,5.0928269,5.0,6,ChIJV0QxOgBvxkcRVt76v2XmNZQ
JEU de boules bar Utrecht,"Paardenveld 3, Utrecht",52.09508459999999,5.1111587,4.2,1086,ChIJ19LpZ4ZvxkcRNR9uH8dnkUg
Warmoes,"Vlampijpstraat 94, Utrecht",52.10399930000001,5.087239799999999,4.7,351,ChIJQYygbXhvxkcRvYVYWQHXlUY
Roodnoot,"Oude Vleutenseweg 35, Utrecht",52.0974481,5.0726768,4.6,227,ChIJIWjHFZpvxkcR4YotfkeBSro
Kloek,"Vredenburg 31, Utrecht",52.0931429,5.112901,4.4,970,ChIJLzem5EJvxkcRNCY1YwNAkDg
Koetshuis Café bij Stayokay,"Rhijnauwenselaan 7, Bunnik",52.06915249999999,5.1771195,4.2,124,ChIJmaoJSd5nxkcREcRvZW2qjEI
Boulderhal Energiehaven,"Elektronweg 10A, Utrecht",52.1001312,5.070926399999999,4.8,1420,ChIJP5PkZZdvxkcREyqdfYITL9k
Roemer - wine & food,"Berlijnplein 2, Utrecht",52.0978782,5.068879299999999,4.2,409,ChIJa8VSCd9vxkcRsSYTTHm7Y2k
LOX Leidsche Rijn,"Lissabonpromenade 6, Utrecht",52.09472840000001,5.0654728,4.7,111,ChIJYbXsUfdvxkcRGT08f9GVmek
"Leonidas Utrecht Leidsche Rijn Centrum | Bonbons, Pralines en Chocolade","Parijsboulevard 93a, Utrecht",52.0971318,5.0643818,4.0,40,ChIJmevIckZvxkcRyZklTWiPEhw
"dB's oefenstudio's, concertzaal & muziekcafé","Vlampijpstraat 63, Utrecht",52.1054971,5.0831255,4.6,1509,ChIJ3-mrIXVvxkcRX07pxAxNzg8
Kávos Winebar-Restaurant,"Brusselplein 5, Utrecht",52.0977994,5.0633205,4.5,639,ChIJ5xKy1dVvxkcRxOBl5QDsNX0
Werkspoorkade,Utrecht,52.1049297,5.079225,4.6,29,ChIJ7cLJSzdvxkcROX937UoDY-k
